interaction_id,user_id,restaurant_id,interaction_type,rating,timestamp
I000001,U0368,R0118,rated,3.0,2024-06-05 13:49:00
I000002,U0085,R0295,saved,,2024-10-10 15:51:00
I000003,U0360,R0274,saved,,2025-01-13 21:58:00
I000004,U0090,R0039,viewed,,2024-06-29 01:27:00
I000005,U0254,R0195,rated,4.0,2024-06-22 21:15:00
I000006,U0248,R0151,viewed,,2024-11-19 18:25:00
I000007,U0435,R0250,viewed,,2024-08-23 10:19:00
I000008,U0182,R0055,visited,5.0,2024-06-30 00:06:00
I000009,U0221,R0252,viewed,,2024-03-19 13:07:00
I000010,U0468,R0250,saved,,2024-05-08 07:30:00
I000011,U0203,R0192,viewed,,2024-04-03 17:51:00
I000012,U0337,R0225,viewed,,2024-08-10 00:22:00
I000013,U0453,R0102,viewed,,2024-03-09 12:26:00
I000014,U0492,R0137,viewed,,2024-09-10 21:45:00
I000015,U0473,R0200,rated,4.0,2025-02-09 00:08:00
I000016,U0393,R0122,visited,,2024-11-01 23:00:00
I000017,U0223,R0246,visited,,2024-05-06 19:09:00
I000018,U0374,R0262,viewed,,2024-02-28 08:44:00
I000019,U0127,R0220,saved,,2025-02-18 03:44:00
I000020,U0097,R0077,viewed,,2024-01-20 08:12:00
I000021,U0476,R0075,saved,,2024-02-16 01:24:00
I000022,U0209,R0269,saved,,2024-04-28 07:21:00
I000023,U0219,R0246,saved,,2024-01-27 09:07:00
I000024,U0138,R0187,visited,,2024-06-12 01:11:00
I000025,U0021,R0001,visited,4.0,2024-08-29 08:58:00
I000026,U0311,R0052,viewed,,2024-09-08 11:21:00
I000027,U0156,R0058,viewed,,2024-10-09 04:21:00
I000028,U0122,R0142,viewed,,2025-03-30 03:08:00
I000029,U0323,R0062,rated,4.0,2025-03-28 20:52:00
I000030,U0474,R0051,visited,5.0,2025-01-06 15:48:00
I000031,U0023,R0066,saved,,2024-05-09 17:22:00
I000032,U0459,R0188,saved,,2024-08-11 02:30:00
I000033,U0490,R0290,rated,3.0,2024-04-07 23:52:00
I000034,U0204,R0254,rated,5.0,2024-02-08 05:28:00
I000035,U0400,R0200,viewed,,2024-04-04 00:10:00
I000036,U0005,R0263,saved,,2024-09-25 08:19:00
I000037,U0437,R0113,viewed,,2024-03-01 05:14:00
I000038,U0024,R0274,viewed,,2024-03-16 08:59:00
I000039,U0108,R0274,saved,,2024-11-19 19:23:00
I000040,U0453,R0282,viewed,,2024-11-09 09:20:00
I000041,U0113,R0144,rated,4.0,2024-10-02 21:55:00
I000042,U0399,R0299,saved,,2024-07-14 20:16:00
I000043,U0446,R0283,visited,5.0,2024-04-14 18:40:00
I000044,U0119,R0223,visited,5.0,2024-04-02 14:11:00
I000045,U0418,R0091,viewed,,2025-01-08 05:41:00
I000046,U0145,R0011,rated,4.0,2025-02-22 12:43:00
I000047,U0312,R0097,viewed,,2024-05-05 14:58:00
I000048,U0331,R0207,viewed,,2025-01-07 00:38:00
I000049,U0052,R0194,viewed,,2024-01-07 20:59:00
I000050,U0023,R0068,viewed,,2024-03-14 20:38:00
I000051,U0055,R0278,saved,,2024-12-28 02:12:00
I000052,U0158,R0170,viewed,,2024-10-05 22:17:00
I000053,U0322,R0279,visited,5.0,2024-05-31 03:32:00
I000054,U0454,R0213,visited,5.0,2024-08-06 12:09:00
I000055,U0367,R0058,rated,4.0,2024-04-24 03:18:00
I000056,U0310,R0078,viewed,,2024-11-03 05:43:00
I000057,U0076,R0164,viewed,,2025-02-11 15:52:00
I000058,U0492,R0143,viewed,,2024-03-06 05:49:00
I000059,U0198,R0181,visited,,2024-07-30 19:50:00
I000060,U0326,R0171,visited,,2024-07-15 13:35:00
I000061,U0121,R0186,rated,5.0,2024-01-09 11:35:00
I000062,U0031,R0179,visited,,2024-03-12 09:29:00
I000063,U0468,R0216,visited,4.0,2024-03-11 03:44:00
I000064,U0014,R0218,saved,,2024-12-05 18:04:00
I000065,U0245,R0081,viewed,,2024-02-10 07:04:00
I000066,U0358,R0154,rated,4.0,2024-08-15 20:44:00
I000067,U0007,R0147,viewed,,2024-11-24 01:38:00
I000068,U0385,R0089,viewed,,2025-03-02 13:43:00
I000069,U0217,R0081,viewed,,2024-07-12 04:47:00
I000070,U0113,R0201,saved,,2024-10-13 19:53:00
I000071,U0040,R0240,visited,,2024-07-13 05:03:00
I000072,U0412,R0191,saved,,2024-02-25 03:04:00
I000073,U0186,R0172,viewed,,2024-10-04 03:04:00
I000074,U0327,R0017,viewed,,2024-10-18 18:02:00
I000075,U0289,R0248,saved,,2024-06-07 00:22:00
I000076,U0460,R0258,visited,3.0,2024-10-27 12:30:00
I000077,U0301,R0020,viewed,,2024-08-25 02:56:00
I000078,U0083,R0257,visited,,2025-01-28 10:28:00
I000079,U0403,R0068,viewed,,2025-03-14 13:02:00
I000080,U0457,R0199,rated,4.0,2024-11-06 02:09:00
I000081,U0291,R0255,viewed,,2025-01-27 09:35:00
I000082,U0445,R0045,viewed,,2024-03-27 09:10:00
I000083,U0035,R0144,visited,4.0,2024-12-29 14:16:00
I000084,U0187,R0147,rated,3.0,2024-12-14 04:28:00
I000085,U0126,R0288,visited,5.0,2024-03-22 18:25:00
I000086,U0438,R0038,visited,,2024-06-27 14:29:00
I000087,U0239,R0056,saved,,2024-07-22 13:12:00
I000088,U0206,R0169,viewed,,2024-11-05 15:13:00
