restaurant_id,name,neighbourhood,cuisine_type,price_range,avg_rating,tags,lat,lng,ttc_accessible,halal_certified,kosher_certified
R0001,Cowan's Caribbean Bistro,Kensington Market,Caribbean,1,4.2,vegetarian-friendly|group-friendly|vegan-friendly,43.756064,-79.47143,True,False,False
R0002,Smith's Indian House,Midtown,Indian,2,3.8,romantic|brunch|late-night|date-night|hidden-gem,43.749225,-79.422534,False,True,False
R0003,Hampton's Italian Corner,Yorkville,Italian,4,4.3,group-friendly|vegetarian-friendly|delivery|vegan-friendly|live-music,43.732633,-79.314004,True,False,False
R0004,Reynolds's Caribbean Grill,Danforth,Caribbean,2,4.8,vegetarian-friendly|delivery|brunch,43.679196,-79.517658,True,False,False
R0005,Clarke's Filipino Corner,Midtown,Filipino,2,3.8,quick-bites|date-night|trendy|delivery|brunch|group-friendly,43.642138,-79.362206,True,False,False
R0006,White's Portuguese Table,St. Lawrence Market,Portuguese,4,3.8,romantic|takeout-only|family-friendly,43.683627,-79.465033,True,False,False
R0007,Oliver's American Grill,Scarborough,American,2,4.8,delivery|dine-in|quick-bites|BYOB|cash-only|patio,43.674666,-79.376316,True,False,False
R0008,Robbins's Japanese Garden,The Annex,Japanese,2,4.4,group-friendly|late-night|vegetarian-friendly|brunch,43.731301,-79.408946,True,False,False
R0009,Navarro's Taiwanese Corner,Roncesvalles,Taiwanese,4,3.6,vegetarian-friendly|live-music|outdoor-seating|family-friendly|BYOB|date-night,43.795221,-79.326651,False,False,False
R0010,Haynes's Thai Kitchen,Chinatown,Thai,2,4.2,quick-bites|patio|sports-bar|vegan-friendly,43.787947,-79.293958,True,False,False
R0011,Padilla's Chinese Bar,Liberty Village,Chinese,2,3.6,sports-bar|hidden-gem|family-friendly|group-friendly|live-music|outdoor-seating,43.790964,-79.493764,False,False,False
R0012,Spears's Japanese Kitchen,Kensington Market,Japanese,4,3.6,late-night|vegan-friendly|patio,43.730012,-79.475568,False,False,False
R0013,Bell's Canadian Kitchen,Little India,Canadian,3,4.0,romantic|cash-only|quick-bites|sports-bar|hidden-gem|vegetarian-friendly,43.72167,-79.337461,True,False,False
R0014,Davidson's Korean House,Midtown,Korean,2,2.8,takeout-only|vegetarian-friendly|quick-bites|family-friendly|outdoor-seating,43.797308,-79.512443,True,False,False
R0015,Peck's Greek Grill,Forest Hill,Greek,2,2.9,late-night|vegan-friendly|quick-bites|date-night|hidden-gem|group-friendly,43.775514,-79.512586,True,False,False
R0016,Pugh's Ethiopian Corner,St. Lawrence Market,Ethiopian,1,3.6,cash-only|BYOB|family-friendly|live-music|group-friendly|late-night,43.763472,-79.46013,True,True,False
R0017,Mays's Filipino Bar,Junction,Filipino,3,3.3,date-night|vegan-friendly,43.656764,-79.270982,True,False,False
R0018,Martinez's Vietnamese House,Distillery District,Vietnamese,2,4.1,romantic|outdoor-seating|takeout-only|brunch|family-friendly|group-friendly,43.735295,-79.422617,True,False,False
R0019,Rivera's Filipino Bistro,Little Italy,Filipino,3,3.4,vegetarian-friendly|vegan-friendly|group-friendly|family-friendly|brunch|romantic,43.631584,-79.366075,True,False,False
R0020,Mitchell's Canadian Kitchen,Etobicoke,Canadian,2,3.1,late-night|group-friendly|live-music|vegetarian-friendly|BYOB|cash-only,43.797255,-79.314012,True,False,False
R0021,Brown's Canadian Kitchen,Little India,Canadian,1,4.8,cash-only|brunch|patio|vegan-friendly|hidden-gem|sports-bar,43.746875,-79.301184,False,False,False
R0022,Krause's American Grill,Scarborough,American,2,3.8,vegan-friendly|BYOB,43.749963,-79.382946,True,False,False
R0023,Rice's Italian Grill,St. Lawrence Market,Italian,3,3.9,family-friendly|quick-bites|vegetarian-friendly|dine-in,43.795273,-79.528829,True,False,False
R0024,Allen's Taiwanese Table,St. Lawrence Market,Taiwanese,3,3.0,date-night|takeout-only,43.767831,-79.293203,False,False,False
R0025,Mason's French Grill,Chinatown,French,3,3.6,quick-bites|family-friendly|trendy|dine-in|live-music,43.695032,-79.529157,True,False,False
R0026,Andrews's Taiwanese Kitchen,Danforth,Taiwanese,4,4.0,group-friendly|takeout-only|late-night|vegetarian-friendly|brunch,43.677451,-79.360385,True,False,False
R0027,Flores's American Kitchen,King West,American,1,3.2,delivery|romantic,43.704187,-79.264414,True,False,False
R0028,Wallace's Canadian Bar,Bloor West Village,Canadian,3,4.1,vegan-friendly|takeout-only|romantic|vegetarian-friendly|live-music,43.755296,-79.48483,True,False,False
R0029,Moore's Italian Kitchen,The Annex,Italian,4,3.5,romantic|live-music|delivery|late-night|sports-bar|BYOB,43.745144,-79.287214,True,False,False
R0030,Lozano's Canadian Corner,Junction,Canadian,3,3.7,vegan-friendly|live-music|outdoor-seating,43.710442,-79.287669,False,False,False
R0031,Bush's Indian Table,Little India,Indian,2,3.5,sports-bar|vegan-friendly|trendy|hidden-gem|family-friendly,43.65505,-79.52706,True,False,False
R0032,Wallace's American Kitchen,Danforth,American,2,5.0,date-night|outdoor-seating|trendy,43.780529,-79.322042,False,False,False
R0033,Casey's Canadian Table,Scarborough,Canadian,3,3.9,sports-bar|outdoor-seating|hidden-gem|trendy|date-night,43.731227,-79.273989,False,False,False
R0034,Smith's French Kitchen,Liberty Village,French,3,3.3,live-music|quick-bites,43.736547,-79.463113,True,False,False
R0035,Arnold's Canadian Kitchen,Waterfront,Canadian,3,4.4,group-friendly|trendy|hidden-gem|patio,43.666372,-79.423837,False,False,False
R0036,Wong's West African Garden,Danforth,West African,2,3.2,live-music|delivery|hidden-gem|quick-bites,43.727867,-79.406446,True,True,False
R0037,Montes's Italian Grill,Greektown,Italian,3,4.0,group-friendly|late-night|delivery|romantic|vegan-friendly|takeout-only,43.772886,-79.282528,True,False,False
R0038,Edwards's Mexican Garden,Danforth,Mexican,2,2.7,brunch|vegan-friendly|cash-only|late-night|patio,43.779539,-79.462088,True,False,False
R0039,Mckinney's Korean Corner,Koreatown,Korean,4,3.1,quick-bites|BYOB|cash-only,43.663891,-79.534294,True,False,False
R0040,George's Middle Eastern Corner,Bloor West Village,Middle Eastern,3,4.0,live-music|vegetarian-friendly|late-night,43.752121,-79.322218,False,True,False
R0041,Hernandez's Japanese Bar,Waterfront,Japanese,3,4.3,sports-bar|vegetarian-friendly|patio|dine-in,43.771197,-79.472002,True,False,False
R0042,Gardner's Portuguese Corner,Chinatown,Portuguese,3,4.0,BYOB|hidden-gem|date-night|outdoor-seating|brunch,43.703699,-79.438587,True,False,False
R0043,Jensen's Mexican Garden,Koreatown,Mexican,2,3.8,quick-bites|trendy|delivery|takeout-only|late-night,43.771224,-79.515734,True,False,False
